prenom;nom;naissance;genre;adresse;courriel
Justin;Smith;1969-02-13;H;8954 Oak St, Hudson, Alberta, L6U 4L3;justin.smith@example.com
Elliot;Addy;1960-05-11;H;895 Peel St, Georgetown, Québec, U3O 9P4;elliot.addy@example.com
Arnaud;Slawa;1954-09-20;H;4875 Lakeview Ave, Red Rock, Prince Edward Island, Y9N 3C2;arnaud.slawa@example.com
Elliot;Slawa;1962-01-20;H;7732 Balmoral St, Trenton, Saskatchewan, V8D 9D3;elliot.slawa@example.com
Addison;Grewal;1975-01-10;F;332 College Ave, Enterprise, Northwest Territories, M2B 9Y4;addison.grewal@example.com
Sofia;Morin;1971-10-13;F;6918 36th Ave, Cadillac, Ontario, O2G 0J9;sofia.morin@example.com
Julia;Ouellet;1952-07-15;F;5375 Brock Rd, Minto, Saskatchewan, A0W 9B3;julia.ouellet@example.com
Ryder;Liu;1976-05-19;H;4466 Peel St, Beaumont, Prince Edward Island, T1O 4U2;ryder.liu@example.com
Aubree;Sirko;1960-11-28;F;3435 Vimy St, Elgin, Northwest Territories, T6N 4M0;aubree.sirko@example.com
Benjamin;Macdonald;1950-01-19;H;2418 Wellington St, Cornwall, Manitoba, H3K 0J7;benjamin.macdonald@example.com
Ava;Macdonald;1954-04-12;F;7966 Dalhousie Ave, Grand Falls, Québec, N9C 2S5;ava.macdonald@example.com
Zachary;Slawa;1974-04-24;H;9843 Queen St, St. Antoine, Northwest Territories, Y8O 2Y4;zachary.slawa@example.com
Sophia;French;1948-10-03;F;2139 Elgin St, Cadillac, Québec, V8T 8H5;sophia.french@example.com
Ryan;Wong;1958-12-21;H;9353 Alfred St, Westport, Ontario, U9M 7H4;ryan.wong@example.com
Theo;Jean-Baptiste;1978-07-13;H;9722 Dufferin St, Bath, Québec, U7I 9C3;theo.jean-baptiste@example.com
Olivia;Gill;1990-12-01;F;4743 Disputed Rd, Stratford, New Brunswick, D9A 3T6;olivia.gill@example.com
Juliette;Chu;1950-03-16;F;5034 Duke St, Stirling, Newfoundland and Labrador, F0A 3M0;juliette.chu@example.com
Juliette;Patel;1990-09-18;F;1272 Bay Ave, Chatham, British Columbia, S8M 9O5;juliette.patel@example.com
Charles;Chan;1957-03-19;H;1423 Richmond Ave, Campbellton, Manitoba, F5L 6I0;charles.chan@example.com
